YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.676;0.0;0.211;0.002;0.0;0.001;0.034
2001;0.0;0.677;0.0;0.21;0.002;0.0;0.001;0.034
2002;0.0;0.677;0.0;0.21;0.002;0.0;0.001;0.034
2003;0.0;0.678;0.0;0.209;0.002;0.0;0.001;0.034
2004;0.0;0.678;0.0;0.209;0.002;0.0;0.001;0.034
2005;0.0;0.679;0.0;0.208;0.002;0.0;0.001;0.034
2006;0.0;0.679;0.0;0.208;0.002;0.0;0.001;0.034
2007;0.0;0.68;0.0;0.206;0.002;0.0;0.001;0.034
2008;0.0;0.682;0.0;0.205;0.002;0.0;0.001;0.034
2009;0.0;0.683;0.0;0.204;0.002;0.0;0.001;0.034
2010;0.0;0.684;0.0;0.202;0.002;0.0;0.001;0.034
2011;0.0;0.685;0.0;0.201;0.002;0.0;0.001;0.034
2012;0.0;0.686;0.0;0.2;0.002;0.0;0.001;0.034
2013;0.0;0.687;0.0;0.199;0.002;0.0;0.001;0.034
2014;0.0;0.688;0.0;0.198;0.002;0.0;0.001;0.034
2015;0.0;0.688;0.0;0.198;0.002;0.0;0.001;0.034
2016;0.0;0.689;0.0;0.197;0.002;0.0;0.001;0.034
2017;0.0;0.69;0.0;0.196;0.002;0.0;0.001;0.034
2018;0.0;0.69;0.0;0.196;0.002;0.0;0.001;0.034
