;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;1.747;3.368
1891;;;;1.715;3.307
1892;;;;1.683;3.245
1893;;;;1.651;3.184
1894;;;;1.62;3.123
1895;;;;1.588;3.062
1896;;;;1.556;3.0
1897;;;;1.524;2.939
1898;;;;1.492;2.878
1899;;;;1.461;2.817
1900;;;;1.429;2.755
1901;;;;1.397;2.694
1902;;;;1.365;2.633
1903;;;;1.334;2.572
1904;;;;1.302;2.511
1905;;;;1.27;2.449
1906;;;;1.238;2.388
1907;;;;1.207;2.327
1908;;;;1.175;2.266
1909;;;;1.143;2.204
1910;;;;1.111;2.143
1911;;;;1.08;2.082
1912;;;;1.048;2.021
1913;;;;1.016;1.959
1914;;;;0.984;1.898
1915;;;;0.953;1.837
1916;;;;0.921;1.776
1917;;;;0.889;1.715
1918;;;;0.857;1.653
1919;;;;0.826;1.592
1920;;;;0.794;1.531
1921;;;;0.762;1.47
1922;;;;0.73;1.408
1923;;;;0.699;1.347
1924;;;;0.667;1.286
1925;;;;0.635;1.225
1926;;;;0.603;1.163
1927;;;;0.572;1.102
1928;;;;0.54;1.041
1929;;;;0.508;0.98
1930;;;;0.476;0.918
1931;;;;0.445;0.857
1932;;;;0.413;0.796
1933;;;;0.381;0.735
1934;;;;0.349;0.674
1935;;;;0.318;0.612
1936;;;;0.286;0.551
1937;;;;0.254;0.49
1938;;;;0.222;0.429
1939;;;;0.191;0.367
1940;;;;0.159;0.306
1941;;;;0.127;0.245
1942;;;;0.095;0.184
1943;;;;0.064;0.122
1944;;;;0.032;0.061
1945;;;;0.0;0.0
1946;;;;0.0;0.0
1947;;;;0.0;0.0
1948;;;;0.0;0.0
1949;;;;0.0;0.0
1950;;;;0.0;0.0
1951;;;;0.0;0.0
1952;;;;0.0;0.0
1953;;;;0.0;0.0
1954;;;;0.0;0.0
1955;;;;0.0;0.0
1956;;;;0.0;0.0
1957;;;;0.0;0.0
1958;;;;0.0;0.0
1959;;;;0.0;0.0
1960;;;;0.0;0.0
1961;;;;0.0;0.0
1962;;;;0.0;0.0
1963;;;;0.0;0.0
1964;;;;0.0;0.0
1965;;;;0.0;0.0
1966;;;;0.0;0.0
1967;;;;0.0;0.0
1968;;;;0.0;0.0
1969;;;;0.0;0.0
1970;;;;0.0;0.0
1971;;;;0.0;0.0
1972;;;;0.0;0.0
1973;;;;0.0;0.0
1974;;;;0.0;0.0
1975;;;;0.0;0.0
1976;;;;0.0;0.0
1977;;;;0.0;0.0
1978;;;;0.0;0.0
1979;;;;0.0;0.0
1980;;;;0.0;0.0
1981;;;;0.0;0.0
1982;;;;0.0;0.0
1983;;;;0.0;0.0
1984;;;;0.0;0.0
1985;;;;0.0;0.0
1986;;;;0.0;0.0
1987;;;;0.0;0.0
1988;;;;0.0;0.0
1989;;;;0.0;0.0
1990;;;;0.0;0.0
1991;;;;0.0;0.0
1992;;;;0.0;0.0
1993;;;;0.0;0.0
1994;;;;0.0;0.0
1995;;;;0.0;0.0
1996;;;;0.0;0.0
1997;;;;0.0;0.0
1998;;;;0.0;0.0
1999;;;;0.0;0.0
2000;;;;0.0;0.0
2001;;;;0.0;0.0
2002;;;;0.0;0.0
2003;;;;0.0;0.0
2004;;;;0.0;0.0
2005;;;;0.0;0.0
2006;;;;0.0;0.0
2007;;;;0.0;0.0
2008;;;;0.0;0.0
2009;;;;0.0;0.0
2010;;;;0.0;0.0
2011;;;;0.0;0.0
2012;;;;0.0;0.0
2013;;;;0.0;0.0
2014;;;;0.0;0.0
2015;;;;0.0;0.0
2016;;;;0.0;0.0
2017;;;;0.0;0.0
2018;;;;0.0;0.0
2019;;;;0.0;0.0
