YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;77.159;77.155;
2000;2;25;77.162;77.158;
2000;2;26;75.605;75.602;
2000;2;27;76.11;76.107;
2000;2;28;76.099;76.095;
2000;2;29;76.778;76.775;
2000;3;1;76.488;76.487;
2000;3;2;75.872;75.873;
2000;3;3;76.737;76.736;
2000;3;4;76.734;76.734;
2000;3;5;77.483;77.483;
2000;3;6;77.282;77.282;
2000;3;7;77.494;77.494;
2000;3;8;79.137;79.136;
2000;3;9;79.017;79.016;
2000;3;10;82.892;82.89;
2000;3;11;79.065;79.064;
2000;3;12;83.878;83.875;
2000;3;13;82.627;82.625;
2000;3;14;83.071;83.071;
2000;3;15;82.359;82.359;
2000;3;16;65.202;65.202;
2000;3;17;66.803;66.803;
2000;3;18;66.957;66.957;
2000;3;19;67.702;67.701;
2000;3;20;67.607;67.606;
2000;3;21;67.914;67.914;
2000;3;22;68.053;68.053;
2000;3;23;67.995;67.996;
2000;3;24;68.538;68.538;
2000;3;25;68.215;68.215;
2000;3;26;68.369;68.372;
2000;3;27;67.648;67.652;
2000;3;28;62.346;62.35;
2000;3;29;62.494;62.498;
2000;3;30;62.302;62.306;
2000;3;31;64.081;64.086;
2000;4;1;64.333;64.337;
2000;4;2;63.264;63.267;
2000;4;3;64.248;64.252;
2000;4;4;64.188;64.192;
2000;4;5;64.016;64.019;
2000;4;6;58.393;58.397;
2000;4;7;54.0;54.006;
2000;4;8;;;
2000;4;9;54.134;54.143;
2000;4;10;54.475;54.482;
2000;4;11;53.87;53.881;
2000;4;12;54.234;54.245;
2000;4;13;54.714;54.725;
2000;4;14;54.693;54.705;
2000;4;15;54.734;54.746;
2000;4;16;54.362;54.374;
2000;4;17;53.753;53.765;
2000;4;18;53.25;53.262;
2000;4;19;52.966;52.979;
2000;4;20;52.748;52.76;
2000;4;21;52.514;52.527;
2000;4;22;52.131;52.144;
2000;4;23;52.016;52.029;
2000;4;24;51.582;51.595;
2000;4;25;51.339;51.352;
2000;4;26;50.88;50.892;
2000;4;27;50.278;50.29;
2000;4;28;48.817;48.829;
2000;4;29;50.381;50.393;
2000;4;30;32.503;32.515;
2000;5;1;31.857;31.868;
2000;5;2;32.676;32.687;
2000;5;3;31.34;31.351;
2000;5;4;31.551;31.563;
2000;5;5;31.727;31.74;
2000;5;6;30.937;30.949;
2000;5;7;30.923;30.935;
2000;5;8;33.308;33.329;
2000;5;9;33.048;33.069;
2000;5;10;33.102;33.123;
2000;5;11;33.09;33.111;
2000;5;12;29.993;30.014;
2000;5;13;30.482;30.503;
2000;5;14;27.385;27.405;
2000;5;15;27.248;27.268;
2000;5;16;27.588;27.607;
2000;5;17;27.63;27.647;
2000;5;18;27.526;27.542;
2000;5;19;26.931;26.953;
2000;5;20;26.202;26.224;
2000;5;21;26.038;26.056;
2000;5;22;25.831;25.853;
2000;5;23;24.784;24.806;
2000;5;24;25.152;25.174;
2000;5;25;22.46;22.483;
2000;5;26;22.185;22.208;
2000;5;27;22.139;22.162;
2000;5;28;21.525;21.549;
2000;5;29;21.53;21.553;
2000;5;30;21.657;21.679;
2000;5;31;21.055;21.079;
2000;6;1;20.748;20.771;
2000;6;2;20.495;20.515;
2000;6;3;20.122;20.144;
2000;6;4;20.093;20.115;
2000;6;5;18.596;18.617;
2000;6;6;18.376;18.397;
2000;6;7;18.286;18.307;
2000;6;8;13.545;13.569;
2000;6;9;11.904;11.926;
2000;6;10;11.383;11.403;
2000;6;11;10.877;10.897;
2000;6;12;10.628;10.649;
2000;6;13;10.694;10.715;
2000;6;14;10.05;10.072;
2000;6;15;9.749;9.77;
2000;6;16;8.564;8.579;
2000;6;17;7.353;7.35;
2000;6;18;6.661;6.681;
2000;6;19;6.544;6.544;
2000;6;20;5.397;5.395;
2000;6;21;4.413;4.411;
2000;6;22;4.107;4.105;
2000;6;23;3.671;3.67;
2000;6;24;3.756;3.755;
2000;6;25;2.587;2.586;
2000;6;26;2.212;2.211;
2000;6;27;1.722;1.721;
2000;6;28;1.081;1.08;
2000;6;29;1.094;1.093;
2000;6;30;1.237;1.236;
2000;7;1;1.208;1.208;
2000;7;2;0.967;0.967;
2000;7;3;0.724;0.724;
2000;7;4;0.707;0.707;
2000;7;5;0.557;0.557;
2000;7;6;0.359;0.359;
2000;7;7;0.295;0.295;
2000;7;8;0.112;0.112;
2000;7;9;0.263;0.263;
2000;7;10;0.144;0.144;
2000;7;11;0.14;0.14;
2000;7;12;0.139;0.139;
2000;7;13;0.277;0.277;
2000;7;14;0.142;0.142;
2000;7;15;0.199;0.199;
2000;7;16;0.244;0.244;
2000;7;17;0.25;0.25;
2000;7;18;0.302;0.302;
2000;7;19;0.273;0.273;
2000;7;20;0.141;0.141;
2000;7;21;0.01;0.01;
2000;7;22;0.054;0.054;
2000;7;23;0.005;0.005;
2000;7;24;0.0;0.0;
2000;7;25;0.0;0.0;
2000;7;26;0.0;0.0;
2000;7;27;0.0;0.0;
2000;7;28;0.0;0.0;
2000;7;29;0.0;0.0;
2000;7;30;0.0;0.0;
2000;7;31;0.009;0.009;
2000;8;1;0.073;0.073;
2000;8;2;0.13;0.13;
2000;8;3;0.12;0.12;
2000;8;4;0.155;0.155;
2000;8;5;0.47;0.47;
2000;8;6;;;
2000;8;7;;;
2000;8;8;;;
2000;8;9;;;
2000;8;10;;;
2000;8;11;;;
2000;8;12;;;
2000;8;13;;;
2000;8;14;;;
2000;8;15;;;
2000;8;16;;;
2000;8;17;;;
