YYYY;MM;DD;qobs;qc_flag
2004;10;23;9.53;40
2004;10;24;8.8;40
2004;10;25;8.49;40
2004;10;26;8.09;40
2004;10;27;7.6;40
2004;10;28;7.58;40
2004;10;29;11.74;40
2004;10;30;10.6;40
2004;10;31;8.65;40
2004;11;1;11.89;40
2004;11;2;33.81;40
2004;11;3;21.89;40
2004;11;4;16.59;40
2004;11;5;14.42;40
2004;11;6;37.07;40
2004;11;7;45.77;40
2004;11;8;34.88;40
2004;11;9;45.8;40
2004;11;10;45.54;40
2004;11;11;36.94;40
2004;11;12;27.56;40
2004;11;13;26.75;40
2004;11;14;25.66;40
2004;11;15;18.83;40
2004;11;16;16.29;40
2004;11;17;13.54;40
2004;11;18;13.39;40
2004;11;19;14.06;100
2004;11;20;14.06;100
2004;11;21;14.06;100
2004;11;22;14.06;100
2004;11;23;15.05;40
2004;11;24;15.7;40
2004;11;25;13.54;40
2004;11;26;12.52;40
2004;11;27;11.24;40
2004;11;28;35.06;40
2004;11;29;28.86;40
2004;11;30;19.14;40
2004;12;1;15.21;40
2004;12;2;15.35;40
2004;12;3;13.3;40
2004;12;4;12.23;40
2004;12;5;13.07;40
2004;12;6;17.44;40
2004;12;7;14.1;40
2004;12;8;15.94;40
2004;12;9;14.37;40
2004;12;10;13.06;40
2004;12;11;11.96;40
2004;12;12;15.26;40
2004;12;13;21.35;40
2004;12;14;16.65;40
2004;12;15;14.73;100
2004;12;16;12.76;100
2004;12;17;11.54;100
2004;12;18;10.37;100
2004;12;19;10.37;100
2004;12;20;10.19;40
2004;12;21;9.01;40
2004;12;22;8.75;100
2004;12;23;8.75;100
2004;12;24;8.75;100
2004;12;25;8.75;100
2004;12;26;8.75;100
2004;12;27;8.75;100
2004;12;28;8.75;100
2004;12;29;8.75;100
2004;12;30;8.4;40
2004;12;31;7.61;40
2005;1;1;8.24;100
2005;1;2;8.24;100
2005;1;3;8.24;100
2005;1;4;8.24;100
2005;1;5;8.97;40
2005;1;6;8.11;40
2005;1;7;8.07;40
2005;1;8;8.75;100
2005;1;9;8.75;100
2005;1;10;8.75;100
2005;1;11;8.75;100
2005;1;12;8.75;100
2005;1;13;8.75;100
2005;1;14;8.61;40
2005;1;15;7.23;40
2005;1;16;6.51;40
2005;1;17;6.64;40
2005;1;18;6.57;40
2005;1;19;6.37;100
2005;1;20;6.37;100
2005;1;21;6.37;100
2005;1;22;6.55;40
2005;1;23;5.5;40
2005;1;24;13.4;100
2005;1;25;54.25;100
2005;1;26;43.04;40
2005;1;27;38.02;40
2005;1;28;49.76;40
2005;1;29;38.67;40
2005;1;30;53.05;40
2005;1;31;28.44;40
2005;2;1;29.69;40
2005;2;2;43.67;40
2005;2;3;29.93;40
2005;2;4;22.34;40
2005;2;5;18.91;40
2005;2;6;13.52;40
2005;2;7;19.9;40
2005;2;8;15.01;40
2005;2;9;13.51;40
2005;2;10;12.05;40
2005;2;11;10.59;40
2005;2;12;10.23;40
2005;2;13;9.66;40
2005;2;14;7.59;40
2005;2;15;27.74;40
2005;2;16;25.76;40
2005;2;17;16.55;40
2005;2;18;14.49;40
2005;2;19;11.6;40
