YYYY;MM;DD;qobs;qc_flag
1960;11;24;106.68;40.0
1960;11;25;106.87;40.0
1960;11;26;106.27;40.0
1960;11;27;106.53;100.0
1960;11;28;103.65;100.0
1960;11;29;103.0;100.0
1960;11;30;104.28;100.0
1960;12;1;114.64;40.0
1960;12;2;138.18;40.0
1960;12;3;139.68;40.0
1960;12;4;115.09;100.0
1960;12;5;111.67;100.0
1960;12;6;111.23;100.0
1960;12;7;109.87;100.0
1960;12;8;109.03;40.0
1960;12;9;111.28;40.0
1960;12;10;119.37;40.0
1960;12;11;228.06;40.0
1960;12;12;224.83;40.0
1960;12;13;265.73;40.0
1960;12;14;251.71;40.0
1960;12;15;191.28;40.0
1960;12;16;156.2;40.0
1960;12;17;132.2;40.0
1960;12;18;105.22;40.0
1960;12;19;;250.0
1960;12;20;;250.0
1960;12;21;;250.0
1960;12;22;;250.0
1960;12;23;;250.0
1960;12;24;;250.0
1960;12;25;;250.0
1960;12;26;;250.0
1960;12;27;;250.0
1960;12;28;;250.0
1960;12;29;;250.0
1960;12;30;;250.0
1960;12;31;;250.0
1961;1;1;;250.0
1961;1;2;;250.0
1961;1;3;;250.0
1961;1;4;;250.0
1961;1;5;;250.0
1961;1;6;;250.0
1961;1;7;;250.0
1961;1;8;;250.0
1961;1;9;;250.0
1961;1;10;;250.0
1961;1;11;;250.0
1961;1;12;;250.0
1961;1;13;;250.0
1961;1;14;146.05;40.0
1961;1;15;195.24;40.0
1961;1;16;165.55;40.0
1961;1;17;139.31;40.0
1961;1;18;133.17;40.0
1961;1;19;121.43;40.0
1961;1;20;109.47;40.0
1961;1;21;107.3;40.0
1961;1;22;138.93;40.0
1961;1;23;141.4;40.0
1961;1;24;165.04;40.0
1961;1;25;131.41;40.0
1961;1;26;162.93;40.0
1961;1;27;105.04;40.0
1961;1;28;78.49;100.0
1961;1;29;76.14;100.0
1961;1;30;76.73;100.0
1961;1;31;77.5;100.0
1961;2;1;77.65;100.0
1961;2;2;76.98;100.0
1961;2;3;;250.0
1961;2;4;;250.0
1961;2;5;;250.0
1961;2;6;;250.0
1961;2;7;;250.0
1961;2;8;;250.0
1961;2;9;;250.0
1961;2;10;;250.0
1961;2;11;;250.0
1961;2;12;;250.0
1961;2;13;;250.0
1961;2;14;;250.0
1961;2;15;;250.0
1961;2;16;;250.0
1961;2;17;;250.0
1961;2;18;;250.0
1961;2;19;;250.0
1961;2;20;;250.0
1961;2;21;;250.0
1961;2;22;;250.0
1961;2;23;801.84;100.0
1961;2;24;838.55;100.0
1961;2;25;561.63;100.0
1961;2;26;343.59;100.0
1961;2;27;248.65;100.0
1961;2;28;196.55;100.0
1961;3;1;187.32;100.0
1961;3;2;175.17;100.0
1961;3;3;162.08;100.0
1961;3;4;123.26;40.0
1961;3;5;128.39;40.0
1961;3;6;140.44;40.0
1961;3;7;234.26;40.0
1961;3;8;;250.0
1961;3;9;;250.0
1961;3;10;;250.0
1961;3;11;;250.0
1961;3;12;;250.0
1961;3;13;;250.0
1961;3;14;;250.0
1961;3;15;;250.0
1961;3;16;;250.0
1961;3;17;;250.0
1961;3;18;;250.0
1961;3;19;;250.0
1961;3;20;;250.0
1961;3;21;197.36;40.0
1961;3;22;184.71;40.0
1961;3;23;163.13;40.0
1961;3;24;;250.0
1961;3;25;;250.0
1961;3;26;;250.0
1961;3;27;;250.0
1961;3;28;;250.0
1961;3;29;;250.0
1961;3;30;;250.0
1961;3;31;;250.0
1961;4;1;;250.0
1961;4;2;;250.0
1961;4;3;;250.0
1961;4;4;;250.0
1961;4;5;;250.0
1961;4;6;;250.0
1961;4;7;;250.0
1961;4;8;;250.0
1961;4;9;;250.0
1961;4;10;118.14;40.0
1961;4;11;118.16;40.0
1961;4;12;117.79;40.0
1961;4;13;;250.0
1961;4;14;173.61;40.0
1961;4;15;103.41;100.0
1961;4;16;105.96;100.0
1961;4;17;104.77;100.0
1961;4;18;104.77;100.0
1961;4;19;107.66;100.0
1961;4;20;144.28;100.0
1961;4;21;193.7;40.0
1961;4;22;269.59;40.0
1961;4;23;340.94;40.0
1961;4;24;393.57;40.0
1961;4;25;434.36;40.0
1961;4;26;408.83;40.0
1961;4;27;363.43;40.0
1961;4;28;367.18;40.0
1961;4;29;356.74;40.0
1961;4;30;334.49;40.0
1961;5;1;360.69;40.0
1961;5;2;385.23;40.0
1961;5;3;384.32;40.0
1961;5;4;351.94;40.0
1961;5;5;361.81;40.0
1961;5;6;400.64;40.0
1961;5;7;375.05;40.0
1961;5;8;348.27;40.0
1961;5;9;326.77;40.0
1961;5;10;360.28;40.0
1961;5;11;457.92;40.0
1961;5;12;406.57;40.0
1961;5;13;371.15;40.0
1961;5;14;325.08;40.0
1961;5;15;333.14;40.0
1961;5;16;346.94;40.0
1961;5;17;367.36;40.0
1961;5;18;330.75;40.0
1961;5;19;308.87;40.0
1961;5;20;290.42;40.0
1961;5;21;279.6;40.0
1961;5;22;308.03;40.0
1961;5;23;257.07;40.0
1961;5;24;195.72;40.0
1961;5;25;173.65;40.0
1961;5;26;177.27;40.0
1961;5;27;185.45;40.0
1961;5;28;203.7;40.0
1961;5;29;236.09;40.0
1961;5;30;231.94;40.0
1961;5;31;224.6;40.0
1961;6;1;229.98;40.0
1961;6;2;235.24;40.0
1961;6;3;215.6;40.0
1961;6;4;201.02;40.0
1961;6;5;211.51;40.0
1961;6;6;216.16;40.0
1961;6;7;206.47;40.0
1961;6;8;188.7;40.0
1961;6;9;175.58;40.0
1961;6;10;172.31;40.0
1961;6;11;175.82;40.0
1961;6;12;181.98;40.0
1961;6;13;187.82;40.0
1961;6;14;189.45;40.0
1961;6;15;263.51;40.0
1961;6;16;257.55;40.0
1961;6;17;245.59;40.0
1961;6;18;201.91;40.0
1961;6;19;186.89;40.0
1961;6;20;178.74;40.0
1961;6;21;180.03;40.0
1961;6;22;178.83;40.0
1961;6;23;180.29;40.0
1961;6;24;;250.0
1961;6;25;;250.0
1961;6;26;;250.0
1961;6;27;;250.0
1961;6;28;;250.0
1961;6;29;;250.0
1961;6;30;;250.0
1961;7;1;;250.0
1961;7;2;;250.0
1961;7;3;;250.0
1961;7;4;;250.0
1961;7;5;;250.0
1961;7;6;;250.0
1961;7;7;;250.0
1961;7;8;;250.0
1961;7;9;;250.0
1961;7;10;;250.0
1961;7;11;;250.0
1961;7;12;;250.0
1961;7;13;;250.0
1961;7;14;;250.0
1961;7;15;;250.0
1961;7;16;;250.0
1961;7;17;;250.0
1961;7;18;;250.0
1961;7;19;;250.0
1961;7;20;;250.0
1961;7;21;;250.0
1961;7;22;;250.0
1961;7;23;;250.0
1961;7;24;;250.0
1961;7;25;;250.0
1961;7;26;;250.0
1961;7;27;;250.0
1961;7;28;;250.0
1961;7;29;;250.0
1961;7;30;;250.0
1961;7;31;;250.0
1961;8;1;;250.0
1961;8;2;;250.0
1961;8;3;;250.0
1961;8;4;;250.0
1961;8;5;;250.0
1961;8;6;;250.0
1961;8;7;;250.0
1961;8;8;;250.0
1961;8;9;;250.0
1961;8;10;;250.0
1961;8;11;;250.0
1961;8;12;;250.0
1961;8;13;;250.0
1961;8;14;;250.0
1961;8;15;;250.0
1961;8;16;;250.0
1961;8;17;;250.0
1961;8;18;;250.0
1961;8;19;;250.0
1961;8;20;;250.0
1961;8;21;;250.0
1961;8;22;;250.0
1961;8;23;;250.0
1961;8;24;;250.0
1961;8;25;;250.0
1961;8;26;;250.0
1961;8;27;;250.0
1961;8;28;;250.0
1961;8;29;;250.0
1961;8;30;;250.0
1961;8;31;;250.0
1961;9;1;;250.0
1961;9;2;;250.0
1961;9;3;;250.0
1961;9;4;;250.0
1961;9;5;;250.0
1961;9;6;;250.0
1961;9;7;;250.0
1961;9;8;;250.0
1961;9;9;;250.0
1961;9;10;;250.0
1961;9;11;;250.0
1961;9;12;;250.0
1961;9;13;;250.0
1961;9;14;;250.0
1961;9;15;;250.0
1961;9;16;;250.0
1961;9;17;;250.0
1961;9;18;;250.0
1961;9;19;;250.0
1961;9;20;;250.0
1961;9;21;;250.0
1961;9;22;;250.0
1961;9;23;;250.0
1961;9;24;;250.0
1961;9;25;;250.0
1961;9;26;;250.0
1961;9;27;;250.0
1961;9;28;;250.0
1961;9;29;;250.0
1961;9;30;;250.0
1961;10;1;;250.0
1961;10;2;;250.0
1961;10;3;;250.0
1961;10;4;215.84;40.0
1961;10;5;227.81;40.0
1961;10;6;220.47;40.0
1961;10;7;197.62;40.0
1961;10;8;192.91;40.0
1961;10;9;183.29;40.0
1961;10;10;173.42;40.0
1961;10;11;164.35;40.0
1961;10;12;159.68;40.0
1961;10;13;172.2;40.0
1961;10;14;208.04;40.0
1961;10;15;199.83;40.0
1961;10;16;169.32;40.0
1961;10;17;128.94;40.0
1961;10;18;134.13;40.0
1961;10;19;147.13;40.0
1961;10;20;163.06;40.0
1961;10;21;169.51;40.0
1961;10;22;195.69;40.0
1961;10;23;225.94;40.0
1961;10;24;194.69;40.0
1961;10;25;162.51;40.0
1961;10;26;152.7;40.0
1961;10;27;133.06;40.0
1961;10;28;130.02;40.0
1961;10;29;111.56;40.0
1961;10;30;83.7;40.0
1961;10;31;59.76;100.0
1961;11;1;59.36;100.0
1961;11;2;61.91;100.0
1961;11;3;74.77;100.0
1961;11;4;143.4;100.0
1961;11;5;136.31;40.0
1961;11;6;134.25;40.0
1961;11;7;137.83;40.0
1961;11;8;135.48;40.0
1961;11;9;133.06;40.0
1961;11;10;132.86;40.0
1961;11;11;129.8;40.0
1961;11;12;132.43;40.0
1961;11;13;141.52;40.0
1961;11;14;171.78;40.0
1961;11;15;167.06;40.0
1961;11;16;151.51;40.0
1961;11;17;138.53;40.0
1961;11;18;141.8;40.0
1961;11;19;149.92;40.0
1961;11;20;156.74;40.0
1961;11;21;226.03;40.0
1961;11;22;199.75;40.0
1961;11;23;145.6;40.0
1961;11;24;;250.0
1961;11;25;;250.0
1961;11;26;;250.0
1961;11;27;;250.0
1961;11;28;;250.0
