YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.553;0.0;0.3;0.005;0.0;0.028;0.006
2001;0.0;0.553;0.0;0.3;0.005;0.0;0.028;0.006
2002;0.0;0.554;0.0;0.299;0.005;0.0;0.028;0.006
2003;0.0;0.554;0.0;0.298;0.005;0.0;0.028;0.006
2004;0.0;0.554;0.0;0.297;0.005;0.0;0.028;0.006
2005;0.0;0.555;0.0;0.297;0.005;0.0;0.028;0.006
2006;0.0;0.555;0.0;0.296;0.005;0.0;0.028;0.006
2007;0.0;0.555;0.0;0.295;0.005;0.0;0.028;0.006
2008;0.0;0.556;0.0;0.295;0.005;0.0;0.028;0.006
2009;0.0;0.556;0.0;0.294;0.005;0.0;0.028;0.006
2010;0.0;0.556;0.0;0.293;0.005;0.0;0.028;0.006
2011;0.0;0.556;0.0;0.292;0.005;0.0;0.028;0.006
2012;0.0;0.556;0.0;0.292;0.005;0.0;0.028;0.006
2013;0.0;0.56;0.0;0.291;0.005;0.0;0.028;0.006
2014;0.0;0.563;0.0;0.29;0.005;0.0;0.028;0.006
2015;0.0;0.567;0.0;0.289;0.005;0.0;0.028;0.006
2016;0.0;0.57;0.0;0.288;0.005;0.0;0.028;0.006
2017;0.0;0.574;0.0;0.288;0.005;0.0;0.028;0.006
2018;0.0;0.578;0.0;0.287;0.005;0.0;0.028;0.006
