;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;58.016;364.192
1891;;;;57.892;363.412
1892;;;;57.768;362.631
1893;;;;57.643;361.851
1894;;;;57.519;361.07
1895;;;;57.395;360.289
1896;;;;57.27;359.509
1897;;;;57.146;358.728
1898;;;;57.021;357.948
1899;;;;56.897;357.167
1900;;;;56.773;356.387
1901;;;;56.648;355.606
1902;;;;56.524;354.825
1903;;;;56.4;354.045
1904;;;;56.275;353.264
1905;;;;56.151;352.484
1906;;;;56.027;351.703
1907;;;;55.902;350.923
1908;;;;55.778;350.142
1909;;;;55.654;349.361
1910;;;;55.529;348.581
1911;;;;55.405;347.8
1912;;;;55.281;347.02
1913;;;;55.156;346.239
1914;;;;55.032;345.459
1915;;;;54.908;344.678
1916;;;;54.783;343.897
1917;;;;54.659;343.117
1918;;;;54.535;342.336
1919;;;;54.41;341.556
1920;;;;54.286;340.775
1921;;;;54.162;339.995
1922;;;;54.037;339.214
1923;;;;53.913;338.433
1924;;;;53.788;337.653
1925;;;;53.664;336.872
1926;;;;53.54;336.092
1927;;;;53.415;335.311
1928;;;;53.291;334.531
1929;;;;53.167;333.75
1930;;;;53.042;332.969
1931;;;;52.918;332.189
1932;;;;52.794;331.408
1933;;;;52.669;330.628
1934;;;;52.545;329.847
1935;;;;52.421;329.067
1936;;;;52.296;328.286
1937;;;;52.172;327.505
1938;;;;52.048;326.725
1939;;;;51.923;325.944
1940;;;;51.799;325.164
1941;;;;51.675;324.383
1942;;;;51.55;323.603
1943;;;;51.426;322.822
1944;;;;51.302;322.041
1945;;;;51.177;321.261
1946;;;;51.0;320.148
1947;;;;50.823;319.035
1948;;;;50.645;317.923
1949;;;;50.468;316.81
1950;;;;50.291;315.697
1951;;;;50.114;314.584
1952;;;;49.936;313.472
1953;;;;49.759;312.359
1954;;;;49.582;311.246
1955;;;;49.405;310.133
1956;;;;49.227;309.021
1957;;;;49.05;307.908
1958;;;;48.873;306.795
1959;;;;48.696;305.683
1960;;;;48.518;304.57
1961;;;;48.341;303.457
1962;;;;48.164;302.344
1963;;;;47.987;301.232
1964;;;;47.809;300.119
1965;;;;47.632;299.006
1966;;;;47.455;297.893
1967;;;;47.277;296.781
1968;;;;47.1;295.668
1969;;;;46.923;294.555
1970;;;;46.746;293.443
1971;;;;46.778;293.644
1972;;;;46.81;293.846
1973;;;;46.842;294.048
1974;;;;46.874;294.249
1975;;;;46.906;294.451
1976;;;;46.939;294.653
1977;;;;46.971;294.855
1978;;;;47.003;295.056
1979;;;;47.035;295.258
1980;;;;47.067;295.46
1981;;;;47.099;295.662
1982;;;;47.131;295.863
1983;;;;47.163;296.065
1984;;;;47.196;296.267
1985;;;;47.228;296.469
1986;;;;47.26;296.67
1987;;;;47.292;296.872
1988;;;;47.324;297.074
1989;;;;47.356;297.275
1990;;;;47.388;297.477
1991;;;;47.421;297.679
1992;;;;47.453;297.881
1993;;;;47.485;298.082
1994;;;;47.517;298.284
1995;;;;47.549;298.486
1996;;;;47.581;298.688
1997;-0.43270397;-2.834518;2.401814;47.613;298.889
1998;-1.4584159;-2.8809445;1.4225286;47.646;299.091
1999;-0.46591997;-2.1130443;1.6471243;47.678;299.293
2000;0.0061118603;-2.4924495;2.4985614;47.71;299.495
2001;-0.9156629;-2.2879999;1.372337;47.451;297.872
2002;-0.99083364;-2.8374224;1.8465887;47.193;296.25
2003;-1.1011157;-3.4415698;2.340454;46.934;294.628
2004;-1.0439543;-2.946673;1.9027187;46.676;293.005
2005;-0.25203013;-2.2260516;1.9740214;46.418;291.383
2006;-0.21186328;-2.5568354;2.3449721;46.159;289.761
2007;-1.0264759;-3.0356212;2.0091453;45.901;288.138
2008;-1.2469954;-3.462077;2.2150815;45.642;286.516
2009;-0.14498162;-2.5379982;2.3930166;45.384;284.893
2010;-3.7587109;-4.9894648;1.2307538;45.125;283.271
2011;-1.2586566;-3.0841155;1.8254589;44.867;281.649
2012;-0.15484142;-2.726345;2.5715036;44.609;280.026
2013;-0.557763;-1.9051491;1.3473861;44.35;278.404
2014;-1.8016067;-3.2356215;1.4340148;44.092;276.782
2015;0.5448909;-2.1043231;2.649214;43.658;274.062
2016;-1.4680983;-3.349235;1.8811368;43.225;271.342
2017;-0.6263585;-3.3024294;2.676071;42.792;268.623
2018;0.38055062;-1.3746151;1.7551657;42.571;267.239
2019;-2.1077757;-4.0676956;1.95992;42.351;265.855
2020;-0.31146717;-2.3661346;2.0546675;42.351;265.855
2021;-1.4877865;-3.267828;1.7800415;42.351;265.855
2022;0.02730298;-2.5784945;2.6057975;42.351;265.855
