YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;65.301;67.019;64.256
2000;2;25;65.31;67.049;63.675
2000;2;26;69.979;71.635;66.521
2000;2;27;70.325;71.959;67.052
2000;2;28;69.069;70.501;67.28
2000;2;29;69.937;71.565;67.056
2000;3;1;70.108;71.509;68.862
2000;3;2;70.78;72.231;69.639
2000;3;3;72.524;72.976;84.379
2000;3;4;72.525;72.991;84.274
2000;3;5;72.873;73.377;84.313
2000;3;6;72.483;72.973;83.994
2000;3;7;72.838;73.369;84.378
2000;3;8;73.569;73.973;87.753
2000;3;9;72.455;72.683;87.445
2000;3;10;72.105;72.268;87.31
2000;3;11;71.064;71.187;84.817
2000;3;12;71.556;71.751;85.354
2000;3;13;70.868;70.988;85.334
2000;3;14;62.862;63.116;65.953
2000;3;15;63.189;63.252;65.733
2000;3;16;63.702;63.806;67.054
2000;3;17;63.911;64.445;65.591
2000;3;18;63.922;64.437;65.149
2000;3;19;63.838;64.277;64.527
2000;3;20;63.96;64.433;64.733
2000;3;21;64.127;64.595;65.391
2000;3;22;65.004;65.482;66.452
2000;3;23;71.68;71.417;66.039
2000;3;24;71.366;70.195;68.997
2000;3;25;70.488;69.077;69.184
2000;3;26;69.789;68.058;68.722
2000;3;27;65.82;62.93;71.331
2000;3;28;65.881;63.053;70.382
2000;3;29;64.261;61.057;70.569
2000;3;30;64.733;61.587;71.359
2000;3;31;64.487;61.305;71.34
2000;4;1;64.119;60.811;72.053
2000;4;2;64.453;61.242;71.478
2000;4;3;60.519;56.949;71.594
2000;4;4;60.787;57.086;72.325
2000;4;5;60.478;56.824;72.819
2000;4;6;63.778;61.028;74.439
2000;4;7;65.259;62.961;82.788
2000;4;8;;;
2000;4;9;65.235;62.903;82.809
2000;4;10;65.334;63.016;82.768
2000;4;11;65.658;63.61;82.536
2000;4;12;66.135;64.158;82.661
2000;4;13;65.863;63.744;82.775
2000;4;14;65.785;63.481;82.334
2000;4;15;65.978;63.603;82.437
2000;4;16;65.562;63.083;82.325
2000;4;17;65.052;62.379;80.482
2000;4;18;64.726;61.836;79.636
2000;4;19;64.729;61.735;78.0
2000;4;20;64.622;61.585;78.559
2000;4;21;64.642;61.595;78.059
2000;4;22;64.209;60.976;77.228
2000;4;23;64.088;60.664;77.076
2000;4;24;63.942;60.249;76.405
2000;4;25;63.502;59.66;76.468
2000;4;26;63.583;59.607;75.483
2000;4;27;63.105;59.101;75.449
2000;4;28;62.22;57.929;75.753
2000;4;29;59.404;55.109;75.109
2000;4;30;54.366;50.142;72.701
2000;5;1;54.152;49.898;72.632
2000;5;2;54.002;49.776;73.006
2000;5;3;51.168;46.246;72.425
2000;5;4;51.421;46.514;72.491
2000;5;5;48.794;43.833;69.149
2000;5;6;47.589;41.903;68.858
2000;5;7;45.015;38.482;68.414
2000;5;8;38.876;27.769;60.67
2000;5;9;37.867;26.539;60.713
2000;5;10;37.588;25.907;60.086
2000;5;11;37.762;26.17;59.607
2000;5;12;36.826;24.805;57.698
2000;5;13;36.723;24.111;59.133
2000;5;14;41.282;31.428;63.395
2000;5;15;39.801;30.394;70.673
2000;5;16;39.109;29.681;70.591
2000;5;17;38.869;29.697;72.255
2000;5;18;39.591;30.613;72.582
2000;5;19;46.264;39.409;72.829
2000;5;20;41.407;32.984;74.69
2000;5;21;40.823;32.793;73.897
2000;5;22;41.466;33.556;74.307
2000;5;23;41.134;33.158;74.248
2000;5;24;41.198;33.228;74.263
2000;5;25;35.93;26.43;75.465
2000;5;26;31.37;21.694;73.053
2000;5;27;30.879;21.125;72.995
2000;5;28;31.063;21.333;72.662
2000;5;29;31.072;21.352;72.751
2000;5;30;30.827;20.781;72.727
2000;5;31;29.619;18.903;70.846
2000;6;1;28.141;16.928;69.732
2000;6;2;28.063;16.82;68.716
2000;6;3;28.417;15.082;61.614
2000;6;4;28.781;15.489;61.305
2000;6;5;28.544;15.171;61.039
2000;6;6;28.113;14.202;57.691
2000;6;7;27.928;13.636;57.112
2000;6;8;27.893;13.402;56.926
2000;6;9;27.715;13.419;57.208
2000;6;10;26.586;12.427;57.966
2000;6;11;25.55;11.279;57.899
2000;6;12;24.551;9.72;54.826
2000;6;13;24.487;9.773;54.607
2000;6;14;23.351;8.962;55.295
2000;6;15;23.034;8.513;55.814
2000;6;16;23.184;8.746;54.169
2000;6;17;22.928;7.827;52.248
2000;6;18;21.891;6.174;52.781
2000;6;19;21.94;6.213;53.158
2000;6;20;21.837;5.942;52.478
2000;6;21;22.038;6.13;51.617
2000;6;22;21.828;5.787;51.441
2000;6;23;21.345;5.264;52.187
2000;6;24;21.582;5.683;51.76
2000;6;25;20.727;4.63;50.702
2000;6;26;20.709;4.469;49.46
2000;6;27;20.48;4.199;48.857
2000;6;28;20.161;3.935;47.664
2000;6;29;19.921;3.916;46.085
2000;6;30;20.024;3.862;44.793
2000;7;1;19.97;3.711;44.911
2000;7;2;19.396;3.496;44.311
2000;7;3;19.513;3.622;44.55
2000;7;4;19.344;3.05;44.619
2000;7;5;19.307;2.839;44.395
2000;7;6;19.281;2.853;44.094
2000;7;7;19.032;2.845;43.737
2000;7;8;18.789;2.901;42.69
2000;7;9;19.286;2.815;43.823
2000;7;10;19.292;2.807;43.603
2000;7;11;19.048;2.647;43.779
2000;7;12;19.082;2.606;43.687
2000;7;13;19.446;3.009;43.291
2000;7;14;19.6;3.04;43.639
2000;7;15;19.688;3.205;42.949
2000;7;16;19.816;3.487;42.297
2000;7;17;19.689;3.5;41.997
2000;7;18;20.004;3.745;41.444
2000;7;19;19.857;3.426;41.669
2000;7;20;18.967;2.819;40.109
2000;7;21;19.074;2.669;39.27
2000;7;22;19.044;2.673;39.138
2000;7;23;19.096;2.685;39.175
2000;7;24;18.247;2.062;38.23
2000;7;25;17.928;1.845;37.809
2000;7;26;18.091;1.871;37.283
2000;7;27;17.854;1.8;37.298
2000;7;28;17.821;1.8;37.405
2000;7;29;17.434;1.527;37.1
2000;7;30;17.684;1.524;36.86
2000;7;31;17.289;1.396;36.174
2000;8;1;16.783;1.827;35.811
2000;8;2;16.837;1.857;35.188
2000;8;3;16.9;1.804;35.199
2000;8;4;17.032;2.306;35.347
2000;8;5;15.9;3.917;34.277
2000;8;6;;;
2000;8;7;;;
2000;8;8;;;
2000;8;9;;;
2000;8;10;;;
2000;8;11;;;
2000;8;12;;;
2000;8;13;;;
2000;8;14;;;
2000;8;15;;;
2000;8;16;;;
2000;8;17;;;
2000;8;18;18.317;2.456;33.567
2000;8;19;18.936;3.054;32.615
2000;8;20;18.626;2.554;34.006
2000;8;21;18.453;2.54;33.447
2000;8;22;18.349;2.579;33.264
2000;8;23;18.398;2.68;34.426
2000;8;24;18.438;2.659;34.473
2000;8;25;18.459;2.974;34.763
2000;8;26;18.268;2.538;34.613
2000;8;27;18.211;2.855;33.666
2000;8;28;18.237;3.213;36.428
2000;8;29;18.186;3.186;35.009
2000;8;30;18.194;3.164;34.946
2000;8;31;18.311;3.184;35.284
2000;9;1;18.399;3.338;35.55
2000;9;2;18.21;3.381;36.701
2000;9;3;18.211;3.411;34.692
2000;9;4;18.267;3.515;34.818
2000;9;5;18.261;3.829;37.047
2000;9;6;18.227;4.31;37.698
2000;9;7;18.365;5.29;41.62
2000;9;8;17.722;4.886;41.295
2000;9;9;18.535;5.285;43.705
2000;9;10;18.909;5.204;46.35
2000;9;11;19.007;6.102;44.976
2000;9;12;20.16;7.617;51.855
2000;9;13;20.242;7.77;51.921
2000;9;14;24.006;11.742;64.123
2000;9;15;24.117;11.539;64.626
2000;9;16;26.281;14.43;63.769
2000;9;17;25.651;13.735;59.964
2000;9;18;23.953;11.234;54.438
2000;9;19;24.698;12.343;58.568
2000;9;20;24.209;11.539;57.981
2000;9;21;24.257;11.863;59.037
2000;9;22;23.604;11.126;55.088
2000;9;23;22.356;9.099;54.314
2000;9;24;22.083;9.215;55.815
2000;9;25;20.361;7.466;54.52
2000;9;26;17.656;5.17;43.996
2000;9;27;17.952;5.57;45.285
2000;9;28;18.637;6.373;50.917
2000;9;29;33.893;25.72;66.333
2000;9;30;36.919;28.0;74.75
2000;10;1;39.724;30.974;76.646
2000;10;2;38.013;29.124;76.279
2000;10;3;34.905;25.723;74.442
2000;10;4;38.766;30.551;77.35
2000;10;5;37.229;28.213;78.896
2000;10;6;37.856;28.812;79.23
2000;10;7;37.448;28.529;80.08
2000;10;8;36.387;27.22;79.532
2000;10;9;36.409;27.407;79.911
2000;10;10;34.153;24.591;78.827
2000;10;11;31.164;22.165;74.969
2000;10;12;32.171;23.709;74.853
2000;10;13;32.618;24.162;74.489
2000;10;14;34.723;26.005;76.639
2000;10;15;39.719;31.51;80.175
2000;10;16;44.673;38.501;77.806
2000;10;17;44.718;38.441;76.508
2000;10;18;45.472;39.385;74.871
2000;10;19;44.422;37.951;72.802
2000;10;20;45.636;39.319;76.801
2000;10;21;45.117;38.973;73.598
2000;10;22;44.374;37.925;74.326
2000;10;23;42.107;35.114;75.6
2000;10;24;41.96;34.868;75.787
2000;10;25;42.632;35.853;76.308
2000;10;26;40.364;33.78;65.535
2000;10;27;38.523;31.902;62.738
2000;10;28;38.399;31.991;61.667
2000;10;29;39.629;33.845;59.518
2000;10;30;56.501;53.513;70.93
2000;10;31;57.172;54.677;65.138
2000;11;1;;;
2000;11;2;;;
2000;11;3;;;
2000;11;4;;;
2000;11;5;;;
2000;11;6;;;
2000;11;7;;;
2000;11;8;;;
2000;11;9;;;
2000;11;10;;;
2000;11;11;;;
2000;11;12;;;
2000;11;13;;;
2000;11;14;;;
2000;11;15;;;
2000;11;16;;;
2000;11;17;;;
2000;11;18;;;
2000;11;19;;;
2000;11;20;;;
2000;11;21;;;
2000;11;22;;;
2000;11;23;;;
2000;11;24;;;
2000;11;25;;;
2000;11;26;;;
2000;11;27;;;
2000;11;28;;;
2000;11;29;;;
2000;11;30;;;
2000;12;1;;;
2000;12;2;;;
2000;12;3;;;
2000;12;4;;;
2000;12;5;;;
2000;12;6;;;
2000;12;7;;;
2000;12;8;;;
2000;12;9;;;
2000;12;10;;;
2000;12;11;;;
2000;12;12;;;
2000;12;13;;;
2000;12;14;;;
2000;12;15;;;
2000;12;16;;;
2000;12;17;;;
2000;12;18;;;
2000;12;19;;;
2000;12;20;;;
2000;12;21;;;
2000;12;22;;;
2000;12;23;;;
2000;12;24;;;
2000;12;25;;;
2000;12;26;;;
2000;12;27;;;
2000;12;28;;;
