ID;HIERARCHY;NEXTUPID;NEXTDOWNID
1;1;0;0
2;2;4;3
3;3;2;0
4;1;0;2
5;1;0;62
6;2;73;7
7;3;6;0
8;1;0;98
9;1;0;41
10;1;0;101
11;1;0;0
12;1;0;0
13;2;39,82;0
14;1;0;0
15;1;0;57
16;1;0;0
17;1;0;0
18;1;0;0
19;1;0;20
20;2;19,68;102
21;1;0;0
22;1;0;0
23;1;0;0
24;1;0;0
25;1;0;0
26;1;0;0
27;1;0;0
28;1;0;0
29;1;0;0
30;1;0;0
31;1;0;0
32;1;0;93
33;1;0;42
34;1;0;0
35;1;0;0
36;1;0;98
37;1;0;0
38;2;0;40
39;1;0;13
40;1;38;0
41;2;9;0
42;4;33,44;0
43;2;60;44
44;3;43,69;42
45;2;46,59;0
46;1;0;45
47;2;48;62
48;1;0;47
49;3;52;53
50;2;96,53;88
51;1;0;52
52;2;51;49
53;4;49,107;50
54;3;55;57
55;2;56;54
56;1;0;55
57;4;54,15;62
58;1;0;0
59;1;0;45
60;1;0;43
61;1;0;102
62;5;5,57,47;0
63;1;0;0
64;1;0;0
65;1;0;86
66;1;0;0
67;1;0;0
68;1;0;20
69;1;0;44
70;1;0;0
71;1;0;98
72;1;0;0
73;1;0;6
74;1;0;75
75;2;74;76,97
76;3;75;0
77;1;0;0
78;1;0;0
79;1;0;98
80;1;0;98
81;2;104;0
82;1;0;13
83;1;0;0
84;1;0;0
85;1;0;88
86;2;65;87
87;3;86;88
88;4;87,85,50;100
89;1;0;98
90;1;0;0
91;1;0;0
92;1;0;0
93;2;32;0
94;1;0;0
95;1;0;0
96;1;0;50
97;3;75;0
98;2;8,36,71,79,80,89;0
99;1;0;101
100;5;88,101;103
101;2;10,99;100
102;7;20,61,103;0
103;6;100;102
104;1;0;81
105;1;0;0
106;1;0;0
107;1;0;53
890;1;0;98
990;1;0;101
1010;2;10,99;100
9900;1;0;101
