YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.232;0.0;0.0;0.003;0.0;0.658;0.082
2001;0.0;0.232;0.0;0.0;0.003;0.0;0.658;0.082
2002;0.0;0.232;0.0;0.0;0.003;0.0;0.658;0.082
2003;0.0;0.232;0.0;0.0;0.003;0.0;0.658;0.082
2004;0.0;0.231;0.0;0.0;0.003;0.0;0.658;0.082
2005;0.0;0.231;0.0;0.0;0.003;0.0;0.658;0.082
2006;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2007;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2008;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2009;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2010;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2011;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2012;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2013;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2014;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2015;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2016;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2017;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
2018;0.0;0.231;0.0;0.0;0.003;0.0;0.659;0.082
