id,area_calc,elev_mean,elev_med,elev_ran,elev_std,slope_mean,mvert_dist,mvert_ang,asp_mean,elon_ratio,strm_dens,p_mean,ref_et_mean,aridity,p_season,frac_snow,high_prec_fr,high_prec_du,high_prec_timing,lo_prec_fr,low_prec_du,low_prec_timing,p_mean_ERA5L,pet_mean_ERA5L,aridity_ERA5L,p_season_ERA5L,frac_snow_ERA5L,high_prec_fr_ERA5L,high_prec_du_ERA5L,high_prec_timing_ERA5L,lo_prec_fr_ERA5L,low_prec_du_ERA5L,low_prec_timing_ERA5L,lc_dom,agr_fra,bare_fra,forest_fra,glac_fra,lake_fra,urban_fra,scrub_fra,wetl_fra,lai_max,lai_diff,ndvi_max,ndvi_min,gvf_max,gvf_diff,bedrk_dep,root_dep,soil_poros,soil_tawc,sand_fra,silt_fra,clay_fra,grav_fra,oc_fra,gc_dom,gc_pa_fra,gc_pb_fra,gc_va_fra,gc_vb_fra,gc_23_dom,gc_23_pavr,gc_23_pb,gc_23_vapy,gc_23_vbsr,gc_23_vbpy,gc_23_vb,g_dom_NI,g621_fra,g701_fra,g743_fra,g746_fra,gbinn_fra,ggnew_fra,ggold_fra,ghraun_fra,gbnew_fra,gbold_fra,gmob_fra,gsgos_fra,gsinn_fra,gsn_fra,gsnew_fra,gsold_fra
2,299.347,797.152,771.37,782.246,117.194,71.718,25.4,10.0,176.021,0.769,0.48,3.09,0.54,0.18,-0.41,0.62,12.75,1.2,djf,183.6,3.0,jja,2.9,0.59,0.2,-0.26,0.61,7.2,1.12,djf,143.75,2.38,jja,332.0,0.0,0.848,0.0,0.033,0.004,0.0,0.002,0.044,0.13,0.13,0.08,-0.07,0.03,0.03,20.511,0.958,0.355,0.137,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,hraun,0.044,0.0,0.0,0.0,0.0,0.344,0.0,0.529,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0
3,609.559,852.426,885.723,957.956,176.644,132.752,45.6,310.0,187.502,0.611,0.39,2.62,0.51,0.19,-0.34,0.7,11.2,1.19,djf,184.85,2.89,jja,2.82,0.58,0.21,-0.19,0.62,6.5,1.1,djf,141.55,2.29,jja,332.0,0.0,0.925,0.0,0.0,0.007,0.0,0.062,0.004,0.19,0.19,0.13,-0.06,0.1,0.1,3.042,0.301,0.448,0.043,0.507,0.305,0.187,0.22,0.014,vb,0.0,0.0,0.068,0.932,vbpy__,0.0,0.0,0.068,0.458,0.474,0.0,gnew,0.0,0.0,0.0,0.0,0.0,0.496,0.453,0.005,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0
4,225.994,999.572,882.287,828.938,248.928,85.301,26.6,31.0,133.192,0.637,0.49,4.71,0.54,0.12,-0.45,0.72,13.0,1.25,djf,158.8,2.79,jja,3.07,0.37,0.12,-0.28,0.66,7.7,1.15,djf,145.15,2.49,jja,332.0,0.0,0.481,0.0,0.411,0.0,0.0,0.0,0.021,0.06,0.06,0.05,-0.08,0.01,0.01,8.0,0.614,0.355,0.081,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.91,0.09,621,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.0,0.026,0.306,0.0,0.0,0.0,0.0,0.0
5,130.323,623.64,632.957,652.128,55.218,35.077,19.9,58.0,176.643,0.648,0.16,2.6,0.56,0.22,-0.21,0.57,15.25,1.19,son,212.85,3.31,jja,3.05,0.65,0.21,-0.28,0.57,12.8,1.17,djf,173.6,2.66,jja,322.0,0.0,0.043,0.0,0.0,0.086,0.0,0.654,0.218,0.71,0.71,0.44,-0.07,0.63,0.63,1.049,1.0,0.347,0.128,0.839,0.112,0.047,0.048,0.011,vb,0.0,0.0,0.0,1.0,vb__sr,0.0,0.0,0.0,0.658,0.342,0.0,gnew,0.0,0.0,0.0,0.0,0.0,0.529,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1191.324,723.204,628.057,1384.034,294.448,52.221,80.8,328.0,209.655,0.482,0.51,3.31,0.61,0.18,-0.42,0.59,11.3,1.23,djf,171.7,2.94,jja,3.01,0.64,0.21,-0.24,0.55,8.55,1.14,djf,152.55,2.62,jja,332.0,0.0,0.443,0.0,0.143,0.06,0.0,0.209,0.108,0.35,0.35,0.22,-0.07,0.25,0.25,21.21,0.708,0.381,0.101,0.702,0.218,0.081,0.121,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.997,0.003,hraun,0.165,0.0,0.0,0.0,0.0,0.191,0.0,0.519,0.0,0.004,0.12,0.0,0.0,0.0,0.0,0.0
8,642.085,311.843,261.237,1130.76,219.81,115.877,31.8,180.0,176.428,0.9,0.39,5.07,0.55,0.11,-0.19,0.28,10.75,1.11,,167.55,3.03,jja,5.21,3.33,0.64,-0.23,0.26,10.0,1.11,djf,148.3,2.78,mam,322.0,0.044,0.229,0.049,0.0,0.028,0.001,0.526,0.099,1.41,1.41,0.48,0.0,0.68,0.68,6.598,0.965,0.357,0.129,0.799,0.146,0.054,0.07,0.012,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.803,0.197,hraun,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.532,0.0,0.182,0.258,0.001,0.0,0.0,0.0,0.0
9,37.148,906.429,946.693,1362.123,279.619,423.293,10.3,347.0,195.485,0.667,0.35,3.55,0.64,0.18,-0.36,0.78,14.4,1.27,son,180.9,2.92,jja,3.28,0.48,0.15,-0.18,0.64,7.9,1.22,son,143.9,2.37,jja,332.0,0.002,0.702,0.0,0.07,0.0,0.0,0.226,0.0,0.46,0.46,0.23,-0.07,0.27,0.27,0.5,0.1,0.47,0.019,0.45,0.33,0.222,0.25,0.014,vb,0.0,0.0,0.108,0.892,vb__sr,0.0,0.0,0.108,0.892,0.0,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0
10,67.377,676.962,667.014,252.022,38.88,66.172,11.1,63.0,176.23,0.833,0.42,4.64,0.37,0.08,-0.34,0.55,12.7,1.16,djf,174.3,3.11,jja,4.0,0.91,0.23,-0.22,0.47,8.85,1.13,djf,154.85,2.79,mam,332.0,0.0,0.919,0.0,0.0,0.033,0.0,0.033,0.0,0.18,0.18,0.09,-0.07,0.03,0.03,1.0,1.0,0.348,0.13,0.836,0.122,0.046,0.051,0.011,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,gnew,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.315,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0
11,226.835,752.434,769.226,1411.005,260.905,138.211,34.2,182.0,183.059,0.497,0.48,7.1,0.53,0.07,-0.29,0.41,16.1,1.2,djf,168.4,3.01,jja,6.06,0.8,0.13,-0.29,0.47,11.6,1.2,djf,124.1,2.29,mam,335.0,0.0,0.363,0.0,0.329,0.0,0.0,0.292,0.003,0.27,0.27,0.2,-0.06,0.2,0.2,0.965,0.047,0.475,0.006,0.43,0.34,0.23,0.26,0.014,vb,0.0,0.0,0.003,0.997,vbpy__,0.0,0.0,0.003,0.0,0.705,0.291,gnew,0.4,0.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,0.1,0.033,0.0,0.0,0.0,0.0,0.0
12,42.634,534.741,562.022,812.671,123.421,112.934,11.4,254.0,206.769,0.647,0.23,5.9,0.41,0.07,-0.43,0.57,12.75,1.11,son,159.1,2.83,jja,4.07,0.72,0.18,-0.35,0.48,9.9,1.14,djf,158.0,2.95,jja,332.0,0.0,0.744,0.0,0.0,0.05,0.0,0.206,0.0,0.28,0.28,0.17,-0.07,0.17,0.17,0.923,0.1,0.475,0.014,0.43,0.34,0.23,0.26,0.014,vb,0.0,0.0,0.0,1.0,vb__sr,0.0,0.0,0.0,1.0,0.0,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
