YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.006;0.263;0.0;0.001;0.011;0.0;0.543;0.176
2001;0.006;0.263;0.0;0.001;0.011;0.0;0.543;0.176
2002;0.006;0.262;0.0;0.001;0.011;0.0;0.543;0.176
2003;0.006;0.262;0.0;0.001;0.011;0.0;0.543;0.176
2004;0.006;0.262;0.0;0.001;0.011;0.0;0.544;0.176
2005;0.006;0.262;0.0;0.001;0.011;0.0;0.544;0.176
2006;0.006;0.262;0.0;0.001;0.011;0.0;0.544;0.176
2007;0.006;0.261;0.0;0.001;0.011;0.0;0.545;0.176
2008;0.006;0.259;0.0;0.001;0.011;0.0;0.547;0.176
2009;0.006;0.258;0.0;0.001;0.011;0.0;0.548;0.176
2010;0.006;0.257;0.0;0.001;0.011;0.0;0.549;0.176
2011;0.006;0.255;0.0;0.001;0.011;0.0;0.551;0.176
2012;0.006;0.254;0.0;0.001;0.011;0.0;0.552;0.176
2013;0.006;0.254;0.0;0.001;0.011;0.0;0.548;0.179
2014;0.006;0.255;0.0;0.001;0.011;0.0;0.544;0.183
2015;0.006;0.255;0.0;0.001;0.011;0.0;0.539;0.187
2016;0.006;0.256;0.0;0.001;0.011;0.0;0.535;0.191
2017;0.006;0.257;0.0;0.001;0.011;0.0;0.531;0.194
2018;0.006;0.257;0.0;0.001;0.011;0.0;0.527;0.198
