id;V_no;name;river;VHM_no;gaps_hourly;obsbeg_day;obsend_day;obsbeg_hr;obsend_hr;typimpact;degimpact;elevation;lat;lon;geometry
1;V503;Laugafljót;Andakílsá;503;0.0;2004;2021;2005;2021;A;s;8;451317;370531;POINT (370531 451317)
2;V167;Eyfirðingavað;Austari-Jökulsá;167;0.0873156548237533;1984;2018;2005;2018;F;u;684;508430;527074;POINT (527074 508430)
3;V433;ofan Skatastaða;Austari-Jökulsá;144;0.0063159623316006;1971;2024;2005;2023;F;u;241;534547;505313;POINT (505313 534547)
4;V228;Austurbugur;Austari-Jökulsá;228;0.0;2007;2016;2007;2016;F;u;703;506542;523996;POINT (523996 506542)
5;V34;Hylvað;Bessastaðaá;34;0.0;1970;2021;2018;2021;F;u;62;511651;691179;POINT (691179 511651)
6;14393;Blöndulón Reservoir Calculated Inflow;Blanda;-1;;2000;2024;-1;-1;F;u;407;545072;461571;POINT (461571.40625 545072.625)
7;V294;Langamýri;Blanda;54;0.0;1974;2024;2005;2023;A;s;93;554904;460397;POINT (460397 554904)
8;V313;Dynjandi;Brúará;43;16.51063829787234;1948;2023;2005;2021;D;l;55;407303;424152;POINT (424152 407303)
9;V92;Syðri-Bægisá;Bægisá;92;;1966;2020;-1;-1;F;u;121;574714;527214;POINT (527214 574714)
10;V280;Dalsá;Dalsá;280;;1993;1998;-1;-1;F;u;616;434387;486407;POINT (486407.2 434387.1)
11;V550;neðan Djúpárdals;Djúpá;150;0.0;1968;2023;2005;2021;F;u;62;383766;566856;POINT (566856 383766)
12;V449;Sjóarfoss;Dynjandisá;19;0.0;1956;2023;2005;2021;D;l;18;588483;307220;POINT (307220 588483)
13;V301;Heyvað;Elliðaár;301;0.0;1969;2021;2005;2021;A;s;72;402400;363573;POINT (363573 402400)
14;V504;Tungufoss;Eystri-Rangá;60;0.0699657867302888;1962;2023;2005;2021;C;l;71;366785;445690;POINT (445690 366785)
15;V573;Sturluflöt II;Fellsá;206;16.289466145226086;1977;2024;2006;2023;F;u;113;497143;686316;POINT (686316 497143)
16;V83;Neðri-Stafur;Fjarðará;83;0.0;1958;2006;2005;2006;D;l;354;534666;729850;POINT (729850 534666)
17;V448;Almenningssporður;Fjarðará;202;0.0;1977;2021;2005;2021;F;u;17;602323;323862;POINT (323862 602323)
18;V200;ofan Árbugsár;Fnjóská;200;;1976;2023;-1;-1;F;u;59;595287;550388;POINT (550388 595287)
19;V99;Þjórsárdal;Fossá;99;;1958;1993;-1;-1;B;l;165;405624;460337;POINT (460337 405624)
20;15628;Hjálp;Fossá;-1;13.2663610333797;2002;2024;2002;2023;B;l;126;401461;458584;POINT (458584.1 401461.8)
21;V148;Eyjólfsstaðir;Fossá;148;22.50088869056173;1968;2023;2005;2020;F;u;37;480112;714715;POINT (714715 480112)
22;V286;Svínavatn;Fremri-Laxá;36;0.0;1986;2009;2005;2009;A;s;127;561247;447503;POINT (447503 561247)
23;V475;Flatarhylur;Geirlandsá;475;;2002;2020;-1;-1;F;u;47;371626;544630;POINT (544630 371626)
24;V149;gamla brú;Geithellnaá;149;0.0;1971;2020;2005;2020;F;u;10;462110;710653;POINT (710653 462110)
25;V339;ofan Landbrotsár;Grenlækur;339;0.0;1995;2013;2005;2013;E;s;16;359057;551036;POINT (551036 359057)
26;V322;Reyðarvatnsós;Grímsá;65;0.0;1964;2023;2005;2020;D;l;326;446423;399354;POINT (399354 446423)
27;V586;Efri-Sauðhylur;Haffjarðará;586;0.0;2004;2020;2005;2020;D;l;14;486097;342042;POINT (342042 486097)
28;V618;Litla-Gljúfur;Hafralónsá;618;0.0;2016;2021;2016;2021;F;u;16;628076;662423;POINT (662423 628076)
29;V265;Einstigsfoss;Hamarsá;265;;1991;2005;-1;-1;F;u;29;470478;710554;POINT (710554.1614350547 470478.02217306057)
30;V12;útfall Haukadalsvatns;Haukadalsá;12;0.0;1970;2020;2005;2020;D;l;35;508235;374160;POINT (374160 508235)
31;V51;brú, Viðvíkursveit;Hjaltadalsá;51;;1956;2023;-1;-1;F;u;63;587688;486641;POINT (486641 587688)
32;V452;Vesturdal;Hofsá;395;5.523264817319307;2000;2016;2005;2016;F;u;201;533826;497142;POINT (497142 533826)
33;V288;Vaðbrekkufoss;Hrafnkela;146;0.2524089277037729;1978;2024;2005;2023;F;u;405;514924;663170;POINT (663170 514924)
34;V198;Óp;Hvalá;198;0.0581818917715627;1976;2023;1976;2021;F;u;32;621984;375499;POINT (375499 621984)
