YYYY;MM;DD;qobs;qc_flag
2002;11;15;10.2;40.0
2002;11;16;9.76;40.0
2002;11;17;9.75;40.0
2002;11;18;18.07;40.0
2002;11;19;27.08;40.0
2002;11;20;25.4;40.0
2002;11;21;17.54;40.0
2002;11;22;14.84;40.0
2002;11;23;12.77;40.0
2002;11;24;12.12;40.0
2002;11;25;12.33;40.0
2002;11;26;13.63;40.0
2002;11;27;14.59;40.0
2002;11;28;18.21;40.0
2002;11;29;18.2;40.0
2002;11;30;17.13;40.0
2002;12;1;15.85;40.0
2002;12;2;12.87;40.0
2002;12;3;25.96;40.0
2002;12;4;20.77;40.0
2002;12;5;31.5;40.0
2002;12;6;40.24;40.0
2002;12;7;22.86;40.0
2002;12;8;21.26;40.0
2002;12;9;25.53;40.0
2002;12;10;23.55;40.0
2002;12;11;22.35;40.0
2002;12;12;22.45;40.0
2002;12;13;22.11;40.0
2002;12;14;22.25;40.0
2002;12;15;22.89;40.0
2002;12;16;25.08;40.0
2002;12;17;23.73;40.0
2002;12;18;23.82;40.0
2002;12;19;24.19;40.0
2002;12;20;23.57;40.0
2002;12;21;22.96;40.0
2002;12;22;23.3;40.0
2002;12;23;27.93;40.0
2002;12;24;44.9;40.0
2002;12;25;34.85;40.0
2002;12;26;29.89;40.0
2002;12;27;25.53;40.0
2002;12;28;23.34;40.0
2002;12;29;21.74;40.0
2002;12;30;21.34;40.0
2002;12;31;20.43;40.0
2003;1;1;19.23;40.0
2003;1;2;18.13;40.0
2003;1;3;17.27;40.0
2003;1;4;16.1;40.0
2003;1;5;16.0;40.0
2003;1;6;15.55;40.0
2003;1;7;15.53;40.0
2003;1;8;14.92;40.0
2003;1;9;14.57;40.0
2003;1;10;15.13;40.0
2003;1;11;16.29;40.0
2003;1;12;17.2;40.0
2003;1;13;15.52;40.0
2003;1;14;14.26;40.0
2003;1;15;13.66;40.0
2003;1;16;13.36;40.0
2003;1;17;12.45;40.0
2003;1;18;11.6;40.0
2003;1;19;10.91;40.0
2003;1;20;10.2;40.0
2003;1;21;9.88;40.0
2003;1;22;9.57;40.0
2003;1;23;9.56;40.0
2003;1;24;9.23;40.0
2003;1;25;8.93;40.0
