YYYY;MM;DD;qobs;qc_flag
1951;9;1;165.92;40.0
1951;9;2;154.53;40.0
1951;9;3;149.47;40.0
1951;9;4;144.48;40.0
1951;9;5;138.6;40.0
1951;9;6;144.48;40.0
1951;9;7;150.48;40.0
1951;9;8;156.57;40.0
1951;9;9;164.87;40.0
1951;9;10;234.88;40.0
1951;9;11;356.25;40.0
1951;9;12;501.67;40.0
1951;9;13;363.03;40.0
1951;9;14;243.47;40.0
1951;9;15;169.09;40.0
1951;9;16;129.04;40.0
1951;9;17;129.04;40.0
1951;9;18;138.6;40.0
1951;9;19;152.5;40.0
1951;9;20;152.5;40.0
1951;9;21;152.5;40.0
1951;9;22;145.48;40.0
1951;9;23;137.63;40.0
1951;9;24;134.74;40.0
1951;9;25;131.87;40.0
1951;9;26;128.1;40.0
1951;9;27;136.66;40.0
1951;9;28;145.48;40.0
1951;9;29;154.53;40.0
1951;9;30;164.87;40.0
1951;10;1;303.94;40.0
1951;10;2;223.62;40.0
1951;10;3;173.35;40.0
1951;10;4;184.22;40.0
1951;10;5;204.49;40.0
1951;10;6;232.04;40.0
1951;10;7;258.06;40.0
1951;10;8;426.39;40.0
1951;10;9;339.53;40.0
1951;10;10;261.02;40.0
1951;10;11;521.28;40.0
1951;10;12;482.38;40.0
1951;10;13;444.74;40.0
1951;10;14;408.37;40.0
1951;10;15;525.24;40.0
1951;10;16;316.7;40.0
1951;10;17;173.35;40.0
1951;10;18;157.6;40.0
1951;10;19;142.51;40.0
1951;10;20;128.1;40.0
1951;10;21;114.36;40.0
1951;10;22;114.36;40.0
1951;10;23;115.26;40.0
1951;10;24;116.15;40.0
1951;10;25;118.86;40.0
1951;10;26;232.04;40.0
1951;10;27;356.25;40.0
1951;10;28;505.57;40.0
1951;10;29;352.88;40.0
1951;10;30;223.62;40.0
1951;10;31;156.57;40.0
1951;11;1;150.48;40.0
1951;11;2;144.48;40.0
1951;11;3;138.6;40.0
1951;11;4;131.87;40.0
1951;11;5;127.16;40.0
1951;11;6;122.52;40.0
1951;11;7;117.96;40.0
1951;11;8;117.96;40.0
1951;11;9;121.6;40.0
1951;11;10;125.29;40.0
1951;11;11;132.83;40.0
1951;11;12;123.44;40.0
1951;11;13;114.36;40.0
1951;11;14;105.59;40.0
1951;11;15;101.32;40.0
1951;11;16;97.13;40.0
1951;11;17;93.01;40.0
1951;11;18;88.98;40.0
1951;11;19;86.59;40.0
1951;11;20;84.24;40.0
1951;11;21;81.14;40.0
1951;11;22;78.85;40.0
1951;11;23;76.6;40.0
1951;11;24;75.11;40.0
1951;11;25;73.63;40.0
1951;11;26;70.71;40.0
1951;11;27;67.85;40.0
1951;11;28;65.04;40.0
1951;11;29;65.04;40.0
1951;11;30;64.34;40.0
1951;12;1;64.34;40.0
1951;12;2;63.65;40.0
1951;12;3;60.92;40.0
1951;12;4;65.04;40.0
1951;12;5;56.27;40.0
1951;12;6;55.62;40.0
1951;12;7;54.97;40.0
1951;12;8;54.32;40.0
1951;12;9;53.04;40.0
1951;12;10;53.04;40.0
1951;12;11;56.27;40.0
1951;12;12;97.13;40.0
1951;12;13;92.2;40.0
1951;12;14;87.38;40.0
1951;12;15;82.68;40.0
1951;12;16;77.35;40.0
1951;12;17;85.02;40.0
1951;12;18;93.01;40.0
1951;12;19;100.47;40.0
1951;12;20;97.96;40.0
1951;12;21;95.47;40.0
1951;12;22;92.2;40.0
1951;12;23;88.98;40.0
1951;12;24;83.46;40.0
1951;12;25;78.1;40.0
1951;12;26;72.89;40.0
1951;12;27;70.71;40.0
1951;12;28;68.56;40.0
1951;12;29;66.44;40.0
1951;12;30;66.44;40.0
1951;12;31;67.14;40.0
1952;1;1;67.85;40.0
1952;1;2;69.28;40.0
1952;1;3;66.44;40.0
1952;1;4;63.65;40.0
1952;1;5;60.92;40.0
1952;1;6;58.91;40.0
1952;1;7;58.91;40.0
